classname,Source
Analytical Chemistry ,TRENDS IN ENVIRONMENTAL ANALYTICAL CHEMISTRY
Analytical Chemistry ,CHEMOECOLOGY
Analytical Chemistry ,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY
Analytical Chemistry ,TRENDS IN ENVIRONMENTAL ANALYTICAL CHEMISTRY
Analytical Chemistry ,SEPARATION AND PURIFICATION REVIEWS
Analytical Chemistry ,FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE
Analytical Chemistry ,NUKLEONIKA
Analytical Chemistry ,FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE
Analytical Chemistry ,REVIEWS IN ANALYTICAL CHEMISTRY
Analytical Chemistry ,CURRENT ANALYTICAL CHEMISTRY
Applied Mathematics ,JOURNAL OF DIFFERENTIAL EQUATIONS
Applied Mathematics ,JOURNAL OF DIFFERENTIAL EQUATIONS
Applied Mathematics ,JOURNAL OF MODERN DYNAMICS
Applied Mathematics ,HACETTEPE JOURNAL OF MATHEMATICS AND STATISTICS
Applied Mathematics ,JOURNAL OF GEOMETRIC MECHANICS
Applied Mathematics ,IZVESTIYA MATHEMATICS
Applied Mathematics ,CHINESE ANNALS OF MATHEMATICS SERIES B
Applied Mathematics ,COMMUNICATIONS ON PURE AND APPLIED ANALYSIS
Applied Mathematics ,JOURNAL OF MODERN DYNAMICS
Applied Mathematics ,Hacettepe Journal of Mathematics and Statistics
Atmospheric Sciences ,JOURNAL OF CLIMATE
Atmospheric Sciences ,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY
Atmospheric Sciences ,JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS
Atmospheric Sciences ,ADVANCES IN ATMOSPHERIC SCIENCES
Atmospheric Sciences ,JOURNAL OF HYDROMETEOROLOGY
Atmospheric Sciences ,MONTHLY WEATHER REVIEW
Atmospheric Sciences ,ATMOSPHERIC RESEARCH
Atmospheric Sciences ,JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY
Atmospheric Sciences ,THEORETICAL AND APPLIED CLIMATOLOGY
Atmospheric Sciences ,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS
Banking Finance and Investment ,SIAM JOURNAL ON FINANCIAL MATHEMATICS
Banking Finance and Investment ,REVISTA DE CONTABILIDAD-SPANISH ACCOUNTING REVIEW
Banking Finance and Investment ,IMA JOURNAL OF MANAGEMENT MATHEMATICS
Banking Finance and Investment ,"ANNUAL REVIEW OF FINANCIAL ECONOMICS, VOL 8"
Banking Finance and Investment ,JOURNAL OF ACCOUNTING & ECONOMICS
Banking Finance and Investment ,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS
Banking Finance and Investment ,Journal of Credit Risk
Banking Finance and Investment ,JOURNAL OF INTERNATIONAL MONEY AND FINANCE
Banking Finance and Investment ,ACCOUNTING AND BUSINESS RESEARCH
Banking Finance and Investment ,INTERNATIONAL JOURNAL OF FORECASTING
Biochemistry and Cell Biology ,GROWTH FACTORS
Biochemistry and Cell Biology ,AGING CELL
Biochemistry and Cell Biology ,EUROPEAN CELLS & MATERIALS
Biochemistry and Cell Biology ,BIOLOGY OF THE CELL
Biochemistry and Cell Biology ,BIOMOLECULES
Biochemistry and Cell Biology ,GENES & DEVELOPMENT
Biochemistry and Cell Biology ,AUTOPHAGY
Biochemistry and Cell Biology ,CELL CALCIUM
Biochemistry and Cell Biology ,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY
Biochemistry and Cell Biology ,JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY
Business and Management ,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS
Business and Management ,MANAGEMENT INTERNATIONAL REVIEW
Business and Management ,PUBLIC MANAGEMENT REVIEW
Business and Management ,MANAGEMENT INTERNATIONAL REVIEW
Business and Management ,PROJECT MANAGEMENT JOURNAL
Business and Management ,GROUP DECISION AND NEGOTIATION
Business and Management ,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE
Business and Management ,EUROPEAN MANAGEMENT JOURNAL
Business and Management ,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE
Business and Management ,NONPROFIT MANAGEMENT & LEADERSHIP
Cardiorespiratory Medicine and Haematology ,ANGIOGENESIS
Cardiorespiratory Medicine and Haematology ,JOURNAL OF HOSPITAL MEDICINE
Cardiorespiratory Medicine and Haematology ,Circulation-Heart Failure
Cardiorespiratory Medicine and Haematology ,ANGIOGENESIS
Cardiorespiratory Medicine and Haematology ,Circulation-Heart Failure
Cardiorespiratory Medicine and Haematology ,REVISTA MEDICA DE CHILE
Cardiorespiratory Medicine and Haematology ,REVISTA CLINICA ESPANOLA
Cardiorespiratory Medicine and Haematology ,REVISTA MEDICA DE CHILE
Cardiorespiratory Medicine and Haematology ,JOURNAL OF HOSPITAL MEDICINE
Cardiorespiratory Medicine and Haematology ,ANGIOGENESIS
Civil Engineering ,GEOTECHNICAL TESTING JOURNAL
Civil Engineering ,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART P-JOURNAL OF SPORTS ENGINEERING AND TECHNOLOGY
Civil Engineering ,ADVANCES IN CEMENT RESEARCH
Civil Engineering ,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS
Civil Engineering ,CONSTRUCTION AND BUILDING MATERIALS
Civil Engineering ,STRUCTURAL ENGINEERING INTERNATIONAL
Civil Engineering ,AUTOMATION IN CONSTRUCTION
Civil Engineering ,IET POWER ELECTRONICS
Civil Engineering ,INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS
Civil Engineering ,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART P-JOURNAL OF SPORTS ENGINEERING AND TECHNOLOGY
Clinical Sciences ,ORAL DISEASES
Clinical Sciences ,HEMODIALYSIS INTERNATIONAL
Clinical Sciences ,JOURNAL OF CHILDRENS ORTHOPAEDICS
Clinical Sciences ,EJNMMI RESEARCH
Clinical Sciences ,CLINICS IN COLON AND RECTAL SURGERY
Clinical Sciences ,BMC MUSCULOSKELETAL DISORDERS
Clinical Sciences ,ACADEMIC RADIOLOGY
Clinical Sciences ,JOURNAL OF LAPAROENDOSCOPIC & ADVANCED SURGICAL TECHNIQUES
Clinical Sciences ,GUT AND LIVER
Clinical Sciences ,Journal of Sexual Medicine
Communications Technologies ,PHYSICAL COMMUNICATION
Communications Technologies ,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING
Communications Technologies ,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS
Communications Technologies ,BIOMEDICAL SIGNAL PROCESSING AND CONTROL
Communications Technologies ,IEEE WIRELESS COMMUNICATIONS LETTERS
Communications Technologies ,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS
Communications Technologies ,JOURNAL OF COMMUNICATIONS AND NETWORKS
Communications Technologies ,IEEE TRANSACTIONS ON COMMUNICATIONS
Communications Technologies ,MICROPROCESSORS AND MICROSYSTEMS
Communications Technologies ,JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING
Ecology ,AMERICAN MIDLAND NATURALIST
Ecology ,CONSERVATION LETTERS
Ecology ,REVISTA MEXICANA DE BIODIVERSIDAD
Ecology ,CONSERVATION LETTERS
Ecology ,GLOBAL ECOLOGY AND CONSERVATION
Ecology ,JOURNAL OF INSECT CONSERVATION
Ecology ,WILDLIFE SOCIETY BULLETIN
Ecology ,FIRE ECOLOGY
Ecology ,AQUATIC INVASIONS
Ecology ,CONSERVATION BIOLOGY
Genetics ,CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION
Genetics ,PLANT CELL TISSUE AND ORGAN CULTURE
Genetics ,MITOCHONDRIAL DNA PART A
Genetics ,EMBO REPORTS
Genetics ,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY
Genetics ,BIOTECHNOLOGY PROGRESS
Genetics ,GENES & GENETIC SYSTEMS
Genetics ,JOURNAL OF BIOTECHNOLOGY
Genetics ,JOURNAL OF FOOD PROTECTION
Genetics ,BIOTROPICA
Geology ,MINERALOGY AND PETROLOGY
Geology ,JOURNAL OF SEISMOLOGY
Geology ,COMPTES RENDUS GEOSCIENCE
Geology ,JOURNAL OF ASIAN EARTH SCIENCES
Geology ,TECTONICS
Geology ,CARNETS DE GEOLOGIE
Geology ,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES
Geology ,GEOTECTONICS
Geology ,EXPLORATION GEOPHYSICS
Geology ,PHYSICS AND CHEMISTRY OF THE EARTH
Immunology ,EUROPEAN JOURNAL OF INFLAMMATION
Immunology ,VACCINES
Immunology ,IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY
Immunology ,INTERNATIONAL REVIEWS OF IMMUNOLOGY
Immunology ,Journal of Inflammation-London
Immunology ,MICROBIOLOGY AND IMMUNOLOGY
Immunology ,Central European Journal of Immunology
Immunology ,EUROPEAN JOURNAL OF IMMUNOLOGY
Immunology ,Expert Review of Clinical Immunology
Immunology ,IMMUNE NETWORK
Interdisciplinary Engineering ,IET RENEWABLE POWER GENERATION
Interdisciplinary Engineering ,FLOW TURBULENCE AND COMBUSTION
Interdisciplinary Engineering ,STRUCTURE AND INFRASTRUCTURE ENGINEERING
Interdisciplinary Engineering ,JOURNAL OF HYDRAULIC RESEARCH
Interdisciplinary Engineering ,ADVANCES IN MECHANICAL ENGINEERING
Interdisciplinary Engineering ,INTERNATIONAL JOURNAL OF ENGINE RESEARCH
Interdisciplinary Engineering ,JOURNAL OF THERMAL SCIENCE
Interdisciplinary Engineering ,NIHON REOROJI GAKKAISHI
Interdisciplinary Engineering ,JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME
Interdisciplinary Engineering ,INTERNATIONAL JOURNAL OF APPLIED MECHANICS
Materials Engineering ,ACTA MATERIALIA
Materials Engineering ,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES
Materials Engineering ,DENSITY-FUNCTIONAL METHODS FOR EXCITED STATES
Materials Engineering ,BALTIC JOURNAL OF ROAD AND BRIDGE ENGINEERING
Materials Engineering ,FRICTION
Materials Engineering ,ELECTRONIC MATERIALS LETTERS
Materials Engineering ,NDT & E INTERNATIONAL
Materials Engineering ,IEEE ELECTRON DEVICE LETTERS
Materials Engineering ,INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING
Materials Engineering ,MINERAL PROCESSING AND EXTRACTIVE METALLURGY REVIEW
Neurosciences ,NEUROSURGICAL REVIEW
Neurosciences ,JOURNAL OF COMPARATIVE NEUROLOGY
Neurosciences ,AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL
Neurosciences ,BMC NEUROSCIENCE
Neurosciences ,JOURNAL OF PHYSIOLOGY-LONDON
Neurosciences ,JOURNAL OF COMPARATIVE NEUROLOGY
Neurosciences ,JOURNAL OF PHYSIOLOGY-PARIS
Neurosciences ,MOLECULAR NEURODEGENERATION
Neurosciences ,KOREAN JOURNAL OF PAIN
Neurosciences ,CLINICAL NEURORADIOLOGY
Numerical and Computational Mathematics ,COMPUTATIONAL PARTICLE MECHANICS
Numerical and Computational Mathematics ,Journal of Inverse and Ill-Posed Problems
Numerical and Computational Mathematics ,PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS
Numerical and Computational Mathematics ,APPLICABLE ANALYSIS AND DISCRETE MATHEMATICS
Numerical and Computational Mathematics ,INTERFACES AND FREE BOUNDARIES
Numerical and Computational Mathematics ,BULLETIN OF MATHEMATICAL SCIENCES
Numerical and Computational Mathematics ,PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS
Numerical and Computational Mathematics ,JOURNAL OF APPLIED ANALYSIS AND COMPUTATION
Numerical and Computational Mathematics ,IMA JOURNAL OF NUMERICAL ANALYSIS
Numerical and Computational Mathematics ,COMPUTATIONAL PARTICLE MECHANICS
Oncology and Carcinogenesis ,RADIATION ONCOLOGY
Oncology and Carcinogenesis ,NEOPLASMA
Oncology and Carcinogenesis ,Clinical Colorectal Cancer
Oncology and Carcinogenesis ,PHOTODIAGNOSIS AND PHOTODYNAMIC THERAPY
Oncology and Carcinogenesis ,CANCER GENETICS
Oncology and Carcinogenesis ,ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY
Oncology and Carcinogenesis ,CANCER CELL INTERNATIONAL
Oncology and Carcinogenesis ,JOURNAL FOR IMMUNOTHERAPY OF CANCER
Oncology and Carcinogenesis ,CANCER GENETICS
Oncology and Carcinogenesis ,RECENT PATENTS ON ANTI-CANCER DRUG DISCOVERY
Ophthalmology and Optometry ,BMC OPHTHALMOLOGY
Ophthalmology and Optometry ,OPHTHALMOLOGE
Ophthalmology and Optometry ,OPHTHALMIC AND PHYSIOLOGICAL OPTICS
Ophthalmology and Optometry ,CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY
Ophthalmology and Optometry ,JOURNAL OF VISION
Ophthalmology and Optometry ,OPHTHALMIC AND PHYSIOLOGICAL OPTICS
Ophthalmology and Optometry ,OPHTHALMOLOGE
Ophthalmology and Optometry ,JOURNAL OF VISION
Ophthalmology and Optometry ,OCULAR IMMUNOLOGY AND INFLAMMATION
Ophthalmology and Optometry ,BMC OPHTHALMOLOGY
Optical Physics ,OPTICAL ENGINEERING
Optical Physics ,OPTICS COMMUNICATIONS
Optical Physics ,JOURNAL OF LUMINESCENCE
Optical Physics ,LASER PHYSICS
Optical Physics ,OPTIK
Optical Physics ,JOURNAL OF OPTICS
Optical Physics ,JOURNAL OF THE OPTICAL SOCIETY OF KOREA
Optical Physics ,JOURNAL OF RUSSIAN LASER RESEARCH
Optical Physics ,FIBER AND INTEGRATED OPTICS
Optical Physics ,LASER PHYSICS
Organic Chemistry ,COUNTERMEASURES AGAINST CHEMICAL THREATS II
Organic Chemistry ,NATURAL PRODUCT RESEARCH
Organic Chemistry ,CHEMICAL BOND II: 100 YEARS OLD AND GETTING STRONGER
Organic Chemistry ,JOURNAL OF CHEMINFORMATICS
Organic Chemistry ,Chemistry-An Asian Journal
Organic Chemistry ,ARKIVOC
Organic Chemistry ,"HETEROCYCLIC CHEMISTRY IN THE 21ST CENTURY: A TRIBUTE TO ALAN KATRITZKY, VOL 120"
Organic Chemistry ,PROGRESS IN ENANTIOSELECTIVE CU(I)-CATALYZED FORMATION OF STEREOGENIC CENTERS
Organic Chemistry ,ACS COMBINATORIAL SCIENCE
Organic Chemistry ,HETEROCYCLIC CHEMISTRY IN THE 21ST CENTURY: A TRIBUTE TO ALAN KATRITZKY
Other Physical Sciences ,JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM
Other Physical Sciences ,CHINESE JOURNAL OF CHEMICAL PHYSICS
Other Physical Sciences ,CHINESE PHYSICS C
Other Physical Sciences ,WAVES IN RANDOM AND COMPLEX MEDIA
Other Physical Sciences ,WAVES IN RANDOM AND COMPLEX MEDIA
Other Physical Sciences ,PHYSICA B-CONDENSED MATTER
Other Physical Sciences ,WAVES IN RANDOM AND COMPLEX MEDIA
Other Physical Sciences ,FRONTIERS OF PHYSICS
Other Physical Sciences ,LIVING REVIEWS IN RELATIVITY
Other Physical Sciences ,PHYSICA SCRIPTA
Physical Chemistry incl Structural ,CHEMISTRYSELECT
Physical Chemistry incl Structural ,ADVANCED FUNCTIONAL MATERIALS
Physical Chemistry incl Structural ,JOURNAL OF ELECTROANALYTICAL CHEMISTRY
Physical Chemistry incl Structural ,RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI
Physical Chemistry incl Structural ,TETRAHEDRON LETTERS
Physical Chemistry incl Structural ,NANOMATERIALS AND NANOTECHNOLOGY
Physical Chemistry incl Structural ,JOURNAL OF THE SERBIAN CHEMICAL SOCIETY
Physical Chemistry incl Structural ,JOURNAL OF MOLECULAR RECOGNITION
Physical Chemistry incl Structural ,FEBS OPEN BIO
Physical Chemistry incl Structural ,COMPTES RENDUS CHIMIE
Plant Biology ,PLANT AND CELL PHYSIOLOGY
Plant Biology ,PLANT CELL REPORTS
Plant Biology ,DENDROBIOLOGY
Plant Biology ,FOTTEA
Plant Biology ,BOLETIN DE LA SOCIEDAD ARGENTINA DE BOTANICA
Plant Biology ,ISRAEL JOURNAL OF PLANT SCIENCES
Plant Biology ,PLANT ECOLOGY AND EVOLUTION
Plant Biology ,ANALES DEL JARDIN BOTANICO DE MADRID
Plant Biology ,NOVON
Plant Biology ,BIOLOGIA PLANTARUM
Psychology ,ATTACHMENT & HUMAN DEVELOPMENT
Psychology ,EDUCATIONAL PSYCHOLOGY REVIEW
Psychology ,INTELLIGENCE
Psychology ,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES
Psychology ,JOURNAL OF RATIONAL-EMOTIVE AND COGNITIVE-BEHAVIOR THERAPY
Psychology ,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK
Psychology ,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY
Psychology ,EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY
Psychology ,REVIEWS IN THE NEUROSCIENCES
Psychology ,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE
Public Health and Health Services ,ESTUDIOS DE PSICOLOGIA
Public Health and Health Services ,Australasian Psychiatry
Public Health and Health Services ,JOURNAL OF RURAL HEALTH
Public Health and Health Services ,JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY
Public Health and Health Services ,ARCHIVES OF SEXUAL BEHAVIOR
Public Health and Health Services ,Journal of Child Sexual Abuse
Public Health and Health Services ,CANCER BIOLOGY & THERAPY
Public Health and Health Services ,CIRCULATION-HEART FAILURE
Public Health and Health Services ,POSTGRADUATE MEDICAL JOURNAL
Public Health and Health Services ,GESUNDHEITSWESEN
Pure Mathematics ,COMMUNICATIONS IN COMPUTATIONAL PHYSICS
Pure Mathematics ,FRONTIERS IN PHYSICS
Pure Mathematics ,BOUNDARY VALUE PROBLEMS
Pure Mathematics ,ANNALEN DER PHYSIK
Pure Mathematics ,ARCHIVE FOR MATHEMATICAL LOGIC
Pure Mathematics ,JOURNAL OF THE KOREAN PHYSICAL SOCIETY
Pure Mathematics ,PACIFIC JOURNAL OF MATHEMATICS
Pure Mathematics ,PROGRESS OF THEORETICAL AND EXPERIMENTAL PHYSICS
Pure Mathematics ,FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS
Pure Mathematics ,FEW-BODY SYSTEMS
Resources Engineering and Extractive Metallurgy ,COMPOSITES PART B-ENGINEERING
Resources Engineering and Extractive Metallurgy ,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART M-JOURNAL OF ENGINEERING FOR THE MARITIME ENVIRONMENT
Resources Engineering and Extractive Metallurgy ,THEORETICAL AND APPLIED FRACTURE MECHANICS
Resources Engineering and Extractive Metallurgy ,INTERNATIONAL JOURNAL OF PLASTICITY
Resources Engineering and Extractive Metallurgy ,WASTE MANAGEMENT & RESEARCH
Resources Engineering and Extractive Metallurgy ,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART M-JOURNAL OF ENGINEERING FOR THE MARITIME ENVIRONMENT
Resources Engineering and Extractive Metallurgy ,EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING
Resources Engineering and Extractive Metallurgy ,SCIENCE CHINA-TECHNOLOGICAL SCIENCES
Resources Engineering and Extractive Metallurgy ,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING
Resources Engineering and Extractive Metallurgy ,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH
Soil Sciences ,JOURNAL OF AGRICULTURAL METEOROLOGY
Soil Sciences ,TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY
Soil Sciences ,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
Soil Sciences ,RESTORATION ECOLOGY
Soil Sciences ,PLANT AND SOIL
Soil Sciences ,ECOLOGY
Soil Sciences ,PLANT SOIL AND ENVIRONMENT
Soil Sciences ,RESTORATION ECOLOGY
Soil Sciences ,JOURNAL OF AGRONOMY AND CROP SCIENCE
Soil Sciences ,NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH
Specialist Studies In Education ,EUROPEAN JOURNAL OF SPECIAL NEEDS EDUCATION
Specialist Studies In Education ,JOURNAL OF BEHAVIORAL EDUCATION
Specialist Studies In Education ,INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH
Specialist Studies In Education ,JOURNAL OF CURRICULUM STUDIES
Specialist Studies In Education ,SOCIOLOGY OF EDUCATION
Specialist Studies In Education ,ASSESSMENT & EVALUATION IN HIGHER EDUCATION
Specialist Studies In Education ,EDUCATIONAL MANAGEMENT ADMINISTRATION & LEADERSHIP
Specialist Studies In Education ,BRITISH JOURNAL OF EDUCATIONAL STUDIES
Specialist Studies In Education ,BMC Medical Education
Specialist Studies In Education ,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION
Statistics ,Dynamic Games and Applications
Statistics ,MATHEMATICAL METHODS IN THE APPLIED SCIENCES
Statistics ,JOURNAL OF MATHEMATICAL PSYCHOLOGY
Statistics ,STATISTICA SINICA
Statistics ,THEORY OF PROBABILITY AND ITS APPLICATIONS
Statistics ,JOURNAL OF TIME SERIES ANALYSIS
Statistics ,PHYSICA D-NONLINEAR PHENOMENA
Statistics ,ADVANCES IN APPLIED CLIFFORD ALGEBRAS
Statistics ,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION
Statistics ,JOURNAL OF MATHEMATICAL PSYCHOLOGY
Zoology ,EMU
Zoology ,CANADIAN JOURNAL OF ZOOLOGY
Zoology ,HERPETOLOGICA
Zoology ,FOLIA PRIMATOLOGICA
Zoology ,INTEGRATIVE ZOOLOGY
Zoology ,CONTRIBUTIONS TO ZOOLOGY
Zoology ,AMPHIBIA-REPTILIA
